index;0;1;2;3;4;5;6
fiscal_yr;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2024-2025
total_services;1244;1282;1426;1610;1690;1716;1662
num_transactions_total;431192682.0;424790717.0;399085166.0;369006324.0;476898732.0;475349344.0;443729939.0
num_applications_online;183903598.0;168731737.0;215253090.0;197349440.0;269851782.0;266947348.0;214171315.0
num_phone_apps_enquiries;53787082.0;91095072.0;137503175.0;104451693.0;73420743.0;71752791.0;85927673.0
num_applications_in_person;118929060.0;111052745.0;15198700.0;27955299.0;78959836.0;102586340.0;104016209.0
online_percentage;0.4264998124434774;0.3972114508330934;0.5393663015778442;0.5348131648822365;0.5658471367040666;0.5615813955977607;0.4826614032009231
phone_percentage;0.12474024779483618;0.21444694611817516;0.3445459433588669;0.28306206752163954;0.1539545779291357;0.1509474913675278;0.1936485809221
in-person_percentage;0.2758141892584346;0.26142931226060667;0.038083851004374336;0.0757583195240849;0.16556939807506135;0.21581252040183735;0.23441332183808314
total_services_omni;1242;1280;1426;148;129;697;575
num_transactions_total_omni;431192682.0;424790717.0;399085166.0;21744540.0;23394553.0;222646351.0;57439458.0
num_applications_online_omni;183903598.0;168731737.0;215253090.0;15318919.0;13677024.0;160799334.0;18704562.0
num_phone_apps_enquiries_omni;53787082.0;91095072.0;137503175.0;3716484.0;4379236.0;35625118.0;22790902.0
num_applications_in_person_omni;118929060.0;111052745.0;15198700.0;1767587.0;1961014.0;5124233.0;8802229.0
omni_service_percentage;0.9983922829581994;0.9984399375975039;1.0;0.09192546583850932;0.07633136094674556;0.40617715617715616;0.34596871239470517
omni_online_percentage;0.4264998124434774;0.3972114508330934;0.5393663015778442;0.7044949674722942;0.5846242926718882;0.7222185914019313;0.3256395977831128
omni_phone_percentage;0.12474024779483618;0.21444694611817516;0.3445459433588669;0.17091573332891843;0.18719041137481873;0.16000764369140727;0.3967812857844167
omni_in-person_percentage;0.2758141892584346;0.26142931226060667;0.038083851004374336;0.08128877410145259;0.08382352934890443;0.023015122309370344;0.15324359432500217
total_orgs_ext;72;76;77;77;74;76;77
total_services_ext;1132;1181;1304;1482;1560;1594;1545
num_applications_online_ext;174630378.0;156831471.0;202706431.0;196235510.0;268647250.0;254919297.0;213491442.0
num_applications_in_person_ext;118928362.0;111052720.0;15198693.0;27955299.0;78959836.0;102586170.0;104016209.0
num_phone_apps_enquiries_ext;53099291.0;90704008.0;137242208.0;104408244.0;72927098.0;71178316.0;85547968.0
num_applications_by_mail;42316481.0;33221419.0;19468112.0;22376757.0;31707932.0;21150616.0;27123918.0
num_applications_online_ext_excl_services;174630378.0;156831471.0;202706431.0;196235510.0;211647250.0;185919297.0;213491143.0
num_applications_in_person_ext_excl_services;61275106.0;55281174.0;6530426.0;4732931.0;8887982.0;13758230.0;12305817.0
total_programs_ext;477;500;527;481;457;526;480
total_services_ext_online;212;217;296;318;344;382;421
ext_online_service_percentage;0.1872791519434629;0.18374259102455545;0.22699386503067484;0.2145748987854251;0.2205128205128205;0.2396486825595985;0.27249190938511325
total_services_ext_1oip;540;567;645;682;697;721;721
ext_1oip_service_percentage;0.47703180212014135;0.48010160880609654;0.4946319018404908;0.4601889338731444;0.4467948717948718;0.4523212045169385;0.4666666666666667
total_standards_ext;1210;1319;1713;1747;1909;1683;1764
total_standards_met_ext;832;946;1236;1178;1315;1238;1340
ext_standard_met_percentage;0.687603305785124;0.7172100075815011;0.7215411558669002;0.6742987979393246;0.6888423258250392;0.7355912061794415;0.7596371882086168
total_services_ext_hv;117;126;123;134;116;119;124
total_services_ext_hv_online;32;44;59;63;50;56;58
ext_hv_online_service_percentage;0.27350427350427353;0.3492063492063492;0.4796747967479675;0.4701492537313433;0.43103448275862066;0.47058823529411764;0.46774193548387094
total_services_ext_hv_1oip;84;96;95;106;89;89;96
ext_hv_1oip_service_percentage;0.717948717948718;0.7619047619047619;0.7723577235772358;0.7910447761194029;0.7672413793103449;0.7478991596638656;0.7741935483870968
total_standards_ext_hv;159;194;276;218;283;288;252
total_standards_met_ext_hv;101;142;143;105;189;195;169
ext_hv_standard_met_percentage;0.6352201257861635;0.7319587628865979;0.5181159420289855;0.481651376146789;0.6678445229681979;0.6770833333333334;0.6706349206349206

Timestamp:2026-02-10_10:41:34
