qa_field_name,severity_en,severity_fr,table,description_en,action_en,description_fr,action_fr
qa_reused_sid,0-Error,0-Erreur,Service Identification Information & Metrics,This service ID number has already been assigned to a different department.,"Request new service IDs from the service policy team, resubmit with the new ID, delete the old record",Cet identifiant de service est déja assigné à une autre organisation,"Demander un nouvel identifiant de service de l'équipe de politique de service, re-soumettre avec le nouvel identifiant, supprimer la vielle rangée."
qa_unregistered_sid,0-Error,0-Erreur,Service Identification Information & Metrics,"This service ID number has not been assigned, is not present in the service ID number registry",Correct any typos in the ID. Verify that the ID was assigned to the reporting organization by the Service Performance team.,"Cet identifiant de service n'a pas été assigné, n'est pas présent dans le registre des identifiants de service. ",Corriger toute faute de frappe dans l'identifiant. Vérifier si l'identifiant a été assigné à votre organisation auprès de l'équipe de rendement des services
qa_si_fiscal_yr_out_of_scope,0-Error,0-Erreur,Service Identification Information & Metrics,This fiscal year is not in scope for reporting.,"Resubmit with the correct fiscal year, delete the old record.",Cet exercice financier n'est pas sous examen pour cette période de rapport,"Resoumettre avec l'exercice financier approprié, supprimer la vielle rangée"
qa_program_id_wrong_org,0-Error,0-Erreur,Service Identification Information & Metrics,Some or all of the program codes (program_id) reported for this service do not belong to this organization.,Remove the program codes (program_id) that do not appear on your organization's Chart of Accounts for the fiscal year in question.,Les codes de programme (program_id) rapportés n'appartiennent pas à l'organisation en question,Supprimer les codes de programme (program_id) qui ne figurent pas dans le Plan comptable de votre organisme pour l'année en question.
qa_program_id_old,1-Warning,1-Avertissement,Service Identification Information & Metrics,Some or all of the program codes (program_id) reported for this service are no longer valid for the listed fiscal year.,Remove the program codes (program_id) that do not appear on your organization's Chart of Accounts for the fiscal year in question.,Les codes de programme (program_id) rapportés ne sont pas valides pour l'exercice financier en question,Supprimer les codes de programme (program_id) qui ne figurent pas dans le Plan comptable de votre organisation pour l'année en question.
qa_ss_vol_without_si_vol,2-Suggestion,2-Suggestion,Service Identification Information & Metrics,"The associated service standards report interaction volume information, but there is no application volume reported at the service level.","Define a metric to measure the service demand based on significant client interactions, report using the application volume fields in the service inventory, and define an associated service standard.","La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique.",Identifier une unité de mesure qui sert à quantifier la demande du service représentant des intéractions importantes avec les clients et rapportez-la dans les champs associés au volume d'application. Identifier une norme de service qui se servirait de cette mesure.
qa_client_feedback_contradiction,2-Suggestion,2-Suggestion,Service Identification Information & Metrics,"There is a contradiction between the ""Online Services: Issue Resolution and Feedback"" field and the ""Client Feedback, by Channel"" field.","If ""Online Services: Issue Resolution and Feedback"" is ""Yes"", then include ""ONL"" (""Online"") in the ""Client Feedback, by Channel"" field; if it is ""No"" or ""NA"", then exclude ""ONL"".","Il y a une contradiction entre les champs ""Services en ligne : Solution de problème et rétroaction"" et ""Commentaires des clients, par canal"".","Si le champ ""Services en ligne : Solution de problème et rétroaction"" indique ""Oui"", alors le champ ""Commentaires des clients, par canal"" doit inclure ""ONL"" (en ligne). Si ce premier indique ""Non"" ou ""NA"" (sans objet), alors ce dernier doit exclure ""ONL""."
qa_use_of_cra_bn_applicable,2-Suggestion,2-Suggestion,Service Identification Information & Metrics,"If the client target group includes businesses, the use of CRA Business number field is applicable.","If ""ECONOM"" is present in the ""Client/Target Groups"" field, then ""Use of CRA Business Number as Standard Identifier"" must be ""Yes"" or ""No""; if absent, then it must be ""NA"".","Si les clients/groupes cibles incluent des entreprises (segments économiques), alors l'utilisation du numéro d'entreprise de l'ARC en tant qu'identificateur standard s'applique","Si ""ECONOM"" se retrouve dans le champ ""Clients/Groupes cibles"", alors le champ ""Utilisation du numéro d'entreprise de l'ARC en tant qu'identificateur standard"" doit indiquer ""Oui"" ou ""Non"". S'il est absent, alors ce dernier doit indiquer ""NA"" (sans objet)"
qa_no_si_app_volume,2-Suggestion,2-Suggestion,Service Identification Information & Metrics,There is no application volume being reported for this service.,"Define a metric to measure the service demand based on significant client interactions, report using the application volume fields.",Aucun volume d'application n'est rapporté pour ce service.,Identifier une mesure qui sert à quantifier la demande du service et qui représente une intéraction importante associée service telle qu'elle serait rapportée dans les champs associés au volume d'application.
qa_ss_fiscal_yr_out_of_scope,0-Error,0-Erreur,Service Standards and Performance Results,This fiscal year is not in scope for reporting.,"Resubmit with the correct fiscal year, delete the old record.",Cet exercice financier n'est pas sous examen pour cette période de rapport.,"Resoumetre avec l'exercice financier approprié, supprimer la vielle rangée."
qa_performance_over_100,0-Error,0-Erreur,Service Standards and Performance Results,"The volume of interactions meeting the target exceeds the total volume, indicating a service standard performance over 100%.",Correct the volumes listed for 'total_volume' and 'volume_meeting_target',"Le volume d'intéractions qui ont atteint la cible dépasse le volume total d'intéractions, ce qui indique un rendement de la norme de service supérieur à 100%.",Corriger les volumes inscrits pour le volume total (total_volume) et le volume qui a atteint la cible (volume_meeting_target)
qa_no_ss_volume,1-Warning,1-Avertissement,Service Standards and Performance Results,There is no volume being reported for this service standard.,Revise your service standard to include volumes and associated metrics against which performance can be measured.,Aucune  volume n'a été rapporté pour cette norme de service.,Réviser cette norme de service afin d'y inclure une mesure quantifiable de son rendement.
qa_extreme_volume_variation,2-Suggestion,2-Suggestion,Service Identification Information & Metrics,There is a significant difference in volume from last reporting period.,Review the interaction volumes being reported,Il y a une différence importante des volumes de transaction entre les periodes de rapport,Révisez les volumes associés au service.
qa_no_volume_variation,2-Suggestion,2-Suggestion,Service Identification Information & Metrics,This service has reported the same non-zero interaction volume over at least 4 years.,Review the interaction volumes being reported,Ce service rapporte le même volume  d'intéractions à chaque année,Révisez les volumes associés au service.
